Homem_id,Mulher_id,Pontuacao_Total,Pontuacao_Frase_Identificacao,Pontuacao_Atividade_Fisica,Pontuacao_Estilo_Musical
176.0,19.0,17,7,7,3
176.0,19.0,17,7,7,3
176.0,453.0,14,7,7,0
176.0,453.0,14,7,7,0
176.0,205.0,10,7,0,3
183.0,83.0,13,4,7,2
183.0,42.0,11,4,4,3
194.0,422.0,14,7,4,3
194.0,83.0,13,4,7,2
194.0,30.0,12,4,7,1
194.0,19.0,12,7,4,1
194.0,42.0,11,4,4,3
209.0,394.0,17,7,7,3
209.0,394.0,17,7,7,3
289.0,422.0,12,7,2,3
289.0,19.0,10,7,2,1
289.0,83.0,10,4,4,2
289.0,42.0,9,4,2,3
289.0,30.0,9,4,4,1
298.0,18.0,16,7,7,2
298.0,18.0,16,7,7,2
298.0,18.0,16,7,7,2
298.0,409.0,15,7,7,1
298.0,409.0,15,7,7,1
305.0,34.0,14,7,4,3
305.0,83.0,13,7,4,2
305.0,42.0,12,7,2,3
305.0,18.0,9,0,7,2
305.0,206.0,8,0,7,1
311.0,83.0,9,3,4,2
314.0,281.0,15,6,7,2
314.0,21.0,8,7,0,1
314.0,66.0,8,7,0,1
314.0,356.0,6,6,0,0
325.0,18.0,15,7,7,1
325.0,18.0,15,7,7,1
325.0,46.0,12,7,4,1
325.0,46.0,12,7,4,1
333.0,34.0,14,4,7,3
333.0,422.0,14,7,4,3
333.0,83.0,13,4,7,2
333.0,19.0,12,7,4,1
333.0,345.0,11,7,4,0
436.0,83.0,10,4,4,2
440.0,409.0,13,4,7,2
440.0,18.0,12,4,7,1
440.0,19.0,12,7,2,3
440.0,30.0,11,4,4,3
440.0,205.0,10,7,0,3
442.0,415.0,8,1,4,3
443.0,281.0,16,7,7,2
443.0,34.0,10,7,0,3
443.0,422.0,10,0,7,3
443.0,136.0,10,7,0,3
443.0,83.0,9,7,0,2
454.0,30.0,13,7,4,2
454.0,205.0,2,0,0,2
456.0,83.0,13,7,4,2
456.0,206.0,8,0,7,1
456.0,422.0,5,0,2,3
456.0,19.0,3,0,2,1
456.0,453.0,2,0,2,0
463.0,18.0,11,2,7,2
463.0,83.0,9,3,4,2
