id,idade,estado,cidade,bairro,sexo,estilo_musical,bebida_alcoolica,tem_filhos,ja_foi_casado,atividade_fisica,idade_minima_parceiro,idade_maxima_parceiro,parceiro_pode_ter_filhos,parceiro_pode_beber,parceiro_pode_ser_casado,frase_identificacao,data_cadastro
10,23,GO,Goiânia,Tremendão ,Feminino,Rock,Não Bebo,Não,Sim,Diariamente,27,35,Sim,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-03-31 22:50:46
45,19,GO,Trindade,Luzia Monteiro ,Feminino,Sertanejo,Bebo Socialmente,Não,Não,3x por semana,20,25,Não,Não,Sim,Experiências e viagens,2025-03-31 23:44:21
57,25,GO,Goiânia,Jardim mariliza ,Feminino,Rock,Não Bebo,Sim,Sim,Diariamente,27,35,Tanto Faz,Tanto Faz,Não,Vida simples com família,2025-03-31 23:51:19
73,24,GO,Padre Bernardo,T,Feminino,Sertanejo,Nos Finais de Semana,Sim,Sim,Diariamente,25,50,Tanto Faz,Tanto Faz,Tanto Faz,Vida glamourosa,2025-04-01 00:16:49
76,33,GO,Formosa,Centro,Feminino,Sertanejo,Nos Finais de Semana,Sim,Não,3x por semana,25,45,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-04-01 00:18:55
93,34,GO,Goiânia,Bueno,Feminino,Sertanejo,Não Bebo,Não,Sim,3x por semana,28,40,Sim,Tanto Faz,Não,Vida simples com família,2025-04-01 00:41:47
97,27,GO,Anápolis,Jundiaí ,Feminino,Pop,Não Bebo,Não,Não,Não gosto,27,37,Sim,Tanto Faz,Sim,Equilíbrio material/espiritual,2025-04-01 00:45:26
98,35,GO,Goiânia,Parque Amazônia ,Feminino,Pagode,Bebo Socialmente,Sim,Sim,Diariamente,30,42,Não,Não,Não,Experiências e viagens,2025-04-01 00:45:38
102,26,GO,Goiânia,Jardim Balneário ,Feminino,Sertanejo,Bebo Socialmente,Não,Não,Diariamente,28,38,Sim,Não,Não,Vida simples com família,2025-04-01 00:51:18
106,33,GO,Goiânia,Negrão de Lima ,Feminino,MPB,Não Bebo,Sim,Sim,Diariamente,33,45,Não,Tanto Faz,Tanto Faz,Vida simples com família,2025-04-01 00:53:10
112,47,GO,Goiânia,Jardim Goiás ,Feminino,Rock,Não Bebo,Sim,Sim,3x por semana,40,57,Tanto Faz,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 00:58:32
113,33,GO,Goiânia,JD. América,Feminino,Rock,Bebo Socialmente,Não,Não,Diariamente,25,53,Tanto Faz,Tanto Faz,Tanto Faz,Riqueza espiritual,2025-04-01 00:59:04
117,35,GO,Goiânia,Jardim Atlântico ,Feminino,Rock,Nos Finais de Semana,Sim,Não,Diariamente,29,42,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 01:01:43
119,56,GO,Goiânia,Parque Amazonas ,Feminino,Rock,Não Bebo,Sim,Sim,3x por semana,18,56,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 01:03:10
120,38,GO,Goiânia,Parque Atheneu ,Feminino,Pagode,Bebo Socialmente,Não,Sim,1x por semana,30,47,Tanto Faz,Não,Não,Vida simples com família,2025-04-01 01:03:29
123,37,GO,Goiânia,Oeste ,Feminino,MPB,Não Bebo,Não,Não,Diariamente,33,50,Não,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 01:04:08
126,28,GO,Goiânia,Jardim,Feminino,MPB,Bebo Socialmente,Não,Não,Diariamente,25,50,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 01:08:43
127,61,GO,Goiânia,Alto da Glória ,Feminino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,59,60,Não,Não,Não,Vida simples com família,2025-04-01 01:09:33
129,45,GO,Alexânia,Centro ,Feminino,Pop,Não Bebo,Sim,Sim,3x por semana,37,56,Não,Tanto Faz,Não,Equilíbrio material/espiritual,2025-04-01 01:13:13
130,30,GO,Goiânia,Setor Pedro Ludovico ,Feminino,Pop,Bebo Socialmente,Não,Sim,Diariamente,25,45,Não,Não,Não,Riqueza espiritual,2025-04-01 01:13:37
131,38,GO,Goiânia,Jardim presidente ,Feminino,Pagode,Nos Finais de Semana,Sim,Sim,Diariamente,30,55,Não,Não,Não,Riqueza espiritual,2025-04-01 01:15:40
132,44,GO,Mineiros,Residencial Versailles ,Feminino,Rock,Bebo Socialmente,Sim,Sim,3x por semana,35,47,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 01:17:34
133,37,GO,Goiânia,Pq amazônia ,Feminino,Pop,Não Bebo,Sim,Sim,Diariamente,30,45,Tanto Faz,Tanto Faz,Não,Equilíbrio material/espiritual,2025-04-01 01:17:46
