id,idade,estado,cidade,bairro,sexo,estilo_musical,bebida_alcoolica,tem_filhos,ja_foi_casado,atividade_fisica,idade_minima_parceiro,idade_maxima_parceiro,parceiro_pode_ter_filhos,parceiro_pode_beber,parceiro_pode_ser_casado,frase_identificacao,data_cadastro
4,52,RJ,Rio de Janeiro,Tijuca,Feminino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,47,58,Não,Não,Não,Experiências e viagens,2025-03-31 22:45:04
5,47,BA,Barreiras,Barreirinhas ,Feminino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,40,60,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-03-31 22:45:21
6,55,ES,Vitória,Jardim Camburi ,Feminino,MPB,Não Bebo,Sim,Sim,Diariamente,48,60,Não,Sim,Sim,Vida simples com família,2025-03-31 22:46:31
7,39,PA,Belém,Marco,Feminino,MPB,Bebo Socialmente,Não,Não,3x por semana,31,45,Sim,Não,Sim,Vida simples com família,2025-03-31 22:48:48
8,48,RJ,Niterói,Maria Paula ,Feminino,Pop,Bebo Socialmente,Sim,Sim,3x por semana,39,50,Não,Não,Não,Vida simples com família,2025-03-31 22:49:16
9,45,BA,Salvador,Itapoan ,Feminino,MPB,Não Bebo,Não,Sim,Diariamente,38,50,Não,Tanto Faz,Não,Vida simples com família,2025-03-31 22:50:37
10,23,GO,Goiânia,Tremendão ,Feminino,Rock,Não Bebo,Não,Sim,Diariamente,27,35,Sim,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-03-31 22:50:46
11,54,PR,Curitiba,Portão ,Feminino,Rock,Bebo Socialmente,Sim,Sim,3x por semana,45,60,Não,Não,Não,Equilíbrio material/espiritual,2025-03-31 22:53:33
12,43,MG,Contagem,Beatriz ,Feminino,Sertanejo,Bebo Socialmente,Sim,Sim,1x por semana,37,45,Não,Não,Não,Riqueza espiritual,2025-03-31 22:54:07
13,47,RS,Caxias do Sul,Lourdes,Feminino,Pop,Não Bebo,Sim,Sim,Diariamente,37,55,Não,Sim,Não,Experiências e viagens,2025-03-31 22:54:11
14,26,RS,Caxias do Sul,Jardim eldorado ,Feminino,Pagode,Nos Finais de Semana,Não,Sim,Diariamente,25,34,Não,Não,Não,Vida simples com família,2025-03-31 22:54:25
15,42,PR,Guarapuava,Bonsucesso,Feminino,Rock,Bebo Socialmente,Sim,Sim,1x por semana,40,50,Não,Não,Não,Vida simples com família,2025-03-31 23:00:13
16,39,SC,Blumenau,Centro,Feminino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,35,55,Não,Não,Não,Experiências e viagens,2025-03-31 23:01:37
17,49,PE,Recife,Casa forte,Feminino,Sertanejo,Não Bebo,Sim,Sim,3x por semana,40,58,Não,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-03-31 23:01:43
18,38,SP,Presidente Prudente,Jd Itapura II ,Feminino,Samba,Não Bebo,Não,Sim,Diariamente,33,42,Tanto Faz,Tanto Faz,Tanto Faz,Riqueza espiritual,2025-03-31 23:04:26
19,31,SP,São Paulo,São Miguel Paulista ,Feminino,Sertanejo,Bebo Socialmente,Não,Não,1x por semana,28,45,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-03-31 23:04:56
20,35,PE,Paulista,Maranguape 1,Feminino,Pagode,Não Bebo,Não,Não,1x por semana,25,50,Tanto Faz,Sim,Tanto Faz,Vida simples com família,2025-03-31 23:05:33
21,47,SP,São Paulo,Tucuruvi ,Feminino,Pagode,Bebo Socialmente,Sim,Sim,3x por semana,40,55,Tanto Faz,Tanto Faz,Tanto Faz,Riqueza espiritual,2025-03-31 23:08:22
