Homem_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
325,18.0,46.0,18.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,18.0,19.0,34.0,42.0,46.0,61.0,83.0,136.0,155.0,206.0,225.0,231.0,345.0,395.0,409.0,422.0,18.0,19.0,34.0,42.0,46.0,61.0,83.0,136.0,155.0,206.0,225.0,231.0,345.0,395.0,409.0,422.0,18.0,19.0,34.0,42.0,46.0,61.0,83.0,136.0,155.0,206.0,225.0,231.0,345.0,395.0,409.0,422.0
176,19.0,205.0,453.0,19.0,205.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,394.0,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,42.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,19.0,42.0,51.0,83.0,205.0,206.0,345.0,422.0,453.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,19.0,42.0,51.0,83.0,205.0,206.0,422.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,18.0,19.0,34.0,42.0,83.0,206.0,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,21.0,66.0,281.0,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,18.0,19.0,34.0,42.0,61.0,83.0,206.0,231.0,345.0,395.0,409.0,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,18.0,19.0,34.0,42.0,46.0,51.0,61.0,83.0,136.0,205.0,206.0,231.0,345.0,395.0,409.0,422.0,453.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,19.0,34.0,83.0,136.0,155.0,225.0,231.0,281.0,415.0,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,205.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,19.0,83.0,205.0,206.0,422.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,18.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
